processRunId,scenario,provider,fork,block,orderPosition,phase,analysisSet,cycleObservationCount,blockValid,semanticGatePassed,performanceComparisonEligible,includedInPerformanceSummary,redeployReadyAllCycles,observedMedian_operationsPerSecond,comparisonMedian_operationsPerSecond,observedMedian_readOperationsPerSecond,comparisonMedian_readOperationsPerSecond,observedMedian_fillOperationsPerSecond,comparisonMedian_fillOperationsPerSecond,observedMedian_latencyP50Nanos,comparisonMedian_latencyP50Nanos,observedMedian_latencyP95Nanos,comparisonMedian_latencyP95Nanos,observedMedian_latencyP99Nanos,comparisonMedian_latencyP99Nanos,observedMedian_measuredLatencySamples,comparisonMedian_measuredLatencySamples
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p3-ehcache,default,ehcache,3,3,3,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,23911409.345407933,23911409.345407933,23911409.345407933,23911409.345407933,1586942.8968880796,1586942.8968880796,170.5,170.5,326.0,326.0,556.0,556.0,1868770.0,1868770.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p4-jcs321,default,jcs321,3,3,4,initial,primary-all-cycles,5,True,True,False,False,True,3046185.732543699,,3046185.732543699,,3568792.763059283,,291.0,,812.0,,192433.0,,238008.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p4-jcs321,default,jcs321,3,3,4,redeploy,primary-all-cycles,5,True,True,False,False,True,2842008.5230164374,,2842008.5230164374,,3886684.4910017424,,291.0,,872.0,,194496.0,,222096.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p4-jcs321,default,jcs321,3,3,4,initial,sensitivity-without-cycle-1,4,True,True,False,False,True,3095050.078579996,,3095050.078579996,,3578657.1156047704,,280.5,,797.0,,192244.0,,241828.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p4-jcs321,default,jcs321,3,3,4,redeploy,sensitivity-without-cycle-1,4,True,True,False,False,True,2949846.258449049,,2949846.258449049,,3770879.0584886633,,286.0,,852.0,,193540.0,,230502.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p5-caffeine,default,caffeine,3,3,5,initial,primary-all-cycles,5,True,True,True,True,True,27539688.145286653,27539688.145286653,27539688.145286653,27539688.145286653,1329624.2136269994,1329624.2136269994,140.0,140.0,290.0,290.0,461.0,461.0,2152476.0,2152476.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p5-caffeine,default,caffeine,3,3,5,redeploy,primary-all-cycles,5,True,True,True,True,True,27568816.009425186,27568816.009425186,27568816.009425186,27568816.009425186,1554267.4822840707,1554267.4822840707,140.0,140.0,270.0,270.0,461.0,461.0,2154736.0,2154736.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p5-caffeine,default,caffeine,3,3,5,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,27053630.49980527,27053630.49980527,27053630.49980527,27053630.49980527,1283473.695540411,1283473.695540411,140.0,140.0,295.5,295.5,481.0,481.0,2114522.0,2114522.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p5-caffeine,default,caffeine,3,3,5,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,27520214.254800044,27520214.254800044,27520214.254800044,27520214.254800044,1548196.3178049321,1548196.3178049321,140.0,140.0,285.5,285.5,466.0,466.0,2150982.0,2150982.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p6-nostore,default,nostore,3,3,6,initial,primary-all-cycles,5,True,True,False,False,True,105690651.54600726,,105690651.54600726,,13687043.02385104,,30.0,,161.0,,281.0,,8266548.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p6-nostore,default,nostore,3,3,6,redeploy,primary-all-cycles,5,True,True,False,False,True,103578828.41805625,,103578828.41805625,,14981026.529899882,,31.0,,161.0,,290.0,,8110144.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p6-nostore,default,nostore,3,3,6,initial,sensitivity-without-cycle-1,4,True,True,False,False,True,105253172.9193115,,105253172.9193115,,14268919.430200744,,30.5,,161.0,,281.0,,8232550.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p6-nostore,default,nostore,3,3,6,redeploy,sensitivity-without-cycle-1,4,True,True,False,False,True,104681832.52785149,,104681832.52785149,,14532836.217429753,,30.5,,161.0,,285.5,,8192526.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p1-jcs4,default,jcs4,4,4,1,initial,primary-all-cycles,5,True,True,True,True,True,1043127.983130643,1043127.983130643,1043127.983130643,1043127.983130643,3787147.1799008525,3787147.1799008525,411.0,411.0,1654.0,1654.0,277388.0,277388.0,81524.0,81524.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p1-jcs4,default,jcs4,4,4,1,redeploy,primary-all-cycles,5,True,True,True,True,True,1001727.1188527115,1001727.1188527115,1001727.1188527115,1001727.1188527115,3400716.258858441,3400716.258858441,451.0,451.0,1763.0,1763.0,269670.0,269670.0,78272.0,78272.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p1-jcs4,default,jcs4,4,4,1,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,1023131.7484693343,1023131.7484693343,1023131.7484693343,1023131.7484693343,3446168.5194859053,3446168.5194859053,441.0,441.0,1808.5,1808.5,281113.0,281113.0,79952.0,79952.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f04-p1-jcs4,default,jcs4,4,4,1,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,1078175.6098588323,1078175.6098588323,1078175.6098588323,1078175.6098588323,3583473.9091631044,3583473.9091631044,425.5,425.5,1593.0,1593.0,269614.5,269614.5,84250.0,84250.0
